,lower count,upper count,forecast
43,0.4157517754888499,1.5842482245111502,1.0
44,0.2737780307493576,1.7262219692506424,1.0
45,0.15531688104350305,1.844683118956497,1.0
46,0.05153898992053596,1.948461010079464,1.0
47,-0.04195942904509575,2.0419594290450958,1.0
48,-0.1277498352533779,2.127749835253378,1.0
49,-0.20751738682641907,2.207517386826419,1.0
50,-0.2823172988516893,2.282317298851689,1.0
51,-0.35298820885948734,2.3529882088594873,1.0
52,-0.4201466586987499,2.4201466586987497,1.0
53,-0.4842695110732629,2.484269511073263,1.0
54,-0.5457345998001153,2.5457345998001153,1.0
